typingSpeed,accuracy,netSpeed
48,0.95,46
60,0.92,55
46,0.91,42
58,0.92,53
58,0.91,53
41,0.92,38
73,0.91,66
64,0.89,57
43,0.93,40
48,0.91,44
56,0.92,52
50,0.94,47
40,0.92,37
59,0.93,55
46,0.93,43
52,0.92,48
50,0.94,47
54,0.93,50
42,0.92,39
66,0.89,59
38,0.92,35
48,0.89,43
36,0.93,33
61,0.92,56
57,0.93,53
38,0.92,35
54,0.94,51
76,0.95,72
26,0.96,25
64,0.94,60
61,0.96,59
68,0.94,64
56,0.9,50
82,0.98,80
34,0.92,31
51,0.93,47
75,0.94,71
71,0.9,64
65,0.96,62
72,0.96,69
70,0.97,68
